tas;	Year; Month; Country; ISO3; ISO2
25,643;1991;1;BRA;;
25,9575;1991;2;BRA;;
25,6557;1991;3;BRA;;
25,3129;1991;4;BRA;;
24,791;1991;5;BRA;;
23,9843;1991;6;BRA;;
23,2685;1991;7;BRA;;
23,9083;1991;8;BRA;;
25,1664;1991;9;BRA;;
25,5752;1991;10;BRA;;
25,9412;1991;11;BRA;;
25,9974;1991;12;BRA;;
25,7081;1992;1;BRA;;
25,8255;1992;2;BRA;;
25,4243;1992;3;BRA;;
25,178;1992;4;BRA;;
25,1189;1992;5;BRA;;
24,2869;1992;6;BRA;;
22,8491;1992;7;BRA;;
23,8493;1992;8;BRA;;
24,4257;1992;9;BRA;;
25,5879;1992;10;BRA;;
25,3478;1992;11;BRA;;
25,3391;1992;12;BRA;;
25,7163;1993;1;BRA;;
25,3563;1993;2;BRA;;
25,6753;1993;3;BRA;;
25,5508;1993;4;BRA;;
24,3781;1993;5;BRA;;
23,6627;1993;6;BRA;;
23,3993;1993;7;BRA;;
23,9156;1993;8;BRA;;
25,0619;1993;9;BRA;;
25,9872;1993;10;BRA;;
25,8444;1993;11;BRA;;
25,7498;1993;12;BRA;;
25,5448;1994;1;BRA;;
25,7423;1994;2;BRA;;
25,4517;1994;3;BRA;;
25,2104;1994;4;BRA;;
24,923;1994;5;BRA;;
23,5394;1994;6;BRA;;
23,2876;1994;7;BRA;;
24,2654;1994;8;BRA;;
25,5113;1994;9;BRA;;
26,1809;1994;10;BRA;;
26,0029;1994;11;BRA;;
25,9198;1994;12;BRA;;
26,1481;1995;1;BRA;;
26,0212;1995;2;BRA;;
26,0192;1995;3;BRA;;
25,12;1995;4;BRA;;
24,2829;1995;5;BRA;;
23,7991;1995;6;BRA;;
24,2484;1995;7;BRA;;
25,1264;1995;8;BRA;;
25,7505;1995;9;BRA;;
26,1695;1995;10;BRA;;
25,8871;1995;11;BRA;;
25,8754;1995;12;BRA;;
26,0441;1996;1;BRA;;
26,1958;1996;2;BRA;;
25,5572;1996;3;BRA;;
25,1492;1996;4;BRA;;
24,4024;1996;5;BRA;;
22,9714;1996;6;BRA;;
23,4198;1996;7;BRA;;
24,4626;1996;8;BRA;;
25,1977;1996;9;BRA;;
25,9504;1996;10;BRA;;
25,7197;1996;11;BRA;;
26,2828;1996;12;BRA;;
25,7316;1997;1;BRA;;
25,8774;1997;2;BRA;;
25,2616;1997;3;BRA;;
25,197;1997;4;BRA;;
24,3401;1997;5;BRA;;
23,7487;1997;6;BRA;;
24,3372;1997;7;BRA;;
24,8116;1997;8;BRA;;
25,6764;1997;9;BRA;;
26,9505;1997;10;BRA;;
26,7617;1997;11;BRA;;
26,4589;1997;12;BRA;;
26,7072;1998;1;BRA;;
26,8819;1998;2;BRA;;
26,4072;1998;3;BRA;;
26,2811;1998;4;BRA;;
24,7912;1998;5;BRA;;
23,8738;1998;6;BRA;;
24,4916;1998;7;BRA;;
25,4066;1998;8;BRA;;
25,7172;1998;9;BRA;;
26,3697;1998;10;BRA;;
26,0175;1998;11;BRA;;
26,2946;1998;12;BRA;;
26,1067;1999;1;BRA;;
26,0443;1999;2;BRA;;
25,8348;1999;3;BRA;;
25,1187;1999;4;BRA;;
23,9345;1999;5;BRA;;
23,7212;1999;6;BRA;;
23,7914;1999;7;BRA;;
24,4096;1999;8;BRA;;
25,5916;1999;9;BRA;;
26,015;1999;10;BRA;;
25,8869;1999;11;BRA;;
26,1328;1999;12;BRA;;
25,9065;2000;1;BRA;;
25,7341;2000;2;BRA;;
25,5243;2000;3;BRA;;
25,2622;2000;4;BRA;;
24,6355;2000;5;BRA;;
24,0547;2000;6;BRA;;
22,9562;2000;7;BRA;;
24,7715;2000;8;BRA;;
25,1845;2000;9;BRA;;
26,5363;2000;10;BRA;;
25,8937;2000;11;BRA;;
25,9276;2000;12;BRA;;
25,8022;2001;1;BRA;;
26,1029;2001;2;BRA;;
26,0353;2001;3;BRA;;
25,8097;2001;4;BRA;;
24,771;2001;5;BRA;;
23,245;2001;6;BRA;;
24,2418;2001;7;BRA;;
25,1831;2001;8;BRA;;
25,6916;2001;9;BRA;;
26,3197;2001;10;BRA;;
26,4455;2001;11;BRA;;
26,039;2001;12;BRA;;
25,9703;2002;1;BRA;;
26,0612;2002;2;BRA;;
26,2802;2002;3;BRA;;
25,9732;2002;4;BRA;;
25,1945;2002;5;BRA;;
24,0269;2002;6;BRA;;
24,3371;2002;7;BRA;;
25,3269;2002;8;BRA;;
25,689;2002;9;BRA;;
26,9941;2002;10;BRA;;
26,4679;2002;11;BRA;;
26,3824;2002;12;BRA;;
26,3988;2003;1;BRA;;
26,4573;2003;2;BRA;;
26,0458;2003;3;BRA;;
25,709;2003;4;BRA;;
24,7453;2003;5;BRA;;
24,5994;2003;6;BRA;;
23,9775;2003;7;BRA;;
24,2107;2003;8;BRA;;
25,5222;2003;9;BRA;;
26,2036;2003;10;BRA;;
26,2583;2003;11;BRA;;
26,5912;2003;12;BRA;;
26,1081;2004;1;BRA;;
25,7854;2004;2;BRA;;
25,9067;2004;3;BRA;;
26,0214;2004;4;BRA;;
24,3635;2004;5;BRA;;
23,8823;2004;6;BRA;;
23,6613;2004;7;BRA;;
24,5159;2004;8;BRA;;
26,1668;2004;9;BRA;;
26,3803;2004;10;BRA;;
26,4008;2004;11;BRA;;
26,2449;2004;12;BRA;;
26,665;2005;1;BRA;;
26,4822;2005;2;BRA;;
26,1665;2005;3;BRA;;
25,9846;2005;4;BRA;;
25,1517;2005;5;BRA;;
24,5166;2005;6;BRA;;
23,9213;2005;7;BRA;;
25,4403;2005;8;BRA;;
25,2846;2005;9;BRA;;
26,8205;2005;10;BRA;;
26,7675;2005;11;BRA;;
25,9458;2005;12;BRA;;
26,5366;2006;1;BRA;;
26,275;2006;2;BRA;;
26,1044;2006;3;BRA;;
25,3955;2006;4;BRA;;
24,0456;2006;5;BRA;;
23,8359;2006;6;BRA;;
24,3867;2006;7;BRA;;
25,2383;2006;8;BRA;;
25,6825;2006;9;BRA;;
26,577;2006;10;BRA;;
26,0827;2006;11;BRA;;
26,471;2006;12;BRA;;
26,4631;2007;1;BRA;;
26,29;2007;2;BRA;;
26,1623;2007;3;BRA;;
25,9278;2007;4;BRA;;
24,7602;2007;5;BRA;;
24,2219;2007;6;BRA;;
23,949;2007;7;BRA;;
24,3313;2007;8;BRA;;
26,2888;2007;9;BRA;;
26,8244;2007;10;BRA;;
26,2846;2007;11;BRA;;
26,1926;2007;12;BRA;;
25,541;2008;1;BRA;;
25,7479;2008;2;BRA;;
25,6103;2008;3;BRA;;
25,177;2008;4;BRA;;
24,0721;2008;5;BRA;;
23,3609;2008;6;BRA;;
24,2316;2008;7;BRA;;
